;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;M01_3_N;M02_3_N;M03_3_N;M04_3_N;M05_3_N;M06_3_N;M07_3_N;M08_3_N;M09_3_N;M10_3_N;M11_3_N;M12_3_N;M13_3_N;M14_3_N;M15_3_N;M16_3_N;M17_3_N;status
0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
1;1.3;1.7;5.1;5.1;5.1;1.7;1.3;1.7;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1.3;1.7;2.3;2.7;5.1;3.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
2;3.7;5.1;1.3;3.0;2.0;3.3;3.7;4.0;1.3;3.0;2.0;3.3;5.1;5.1;5.1;5.1;5.1;5.1;3.7;4.0;1.3;3.0;2.0;1.0;5.1;5.1;5.1;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
3;5.1;5.1;1.0;5.1;5.1;5.1;1.0;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.0;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
4;1.7;1.0;5.1;5.1;5.1;1.0;1.7;1.0;1.0;2.7;1.0;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1.7;1.0;1.0;2.7;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
5;5.1;5.1;1.3;5.1;1.0;1.0;2.3;2.3;1.3;2.3;1.0;1.0;5.1;5.1;5.1;5.1;5.1;5.1;2.3;2.3;1.3;2.3;1.0;4.0;2.7;5.1;1.3;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
6;5.1;5.1;5.1;5.1;5.1;5.1;1.3;2.3;1.7;1.7;2.0;5.1;1.7;1.3;1.0;1.0;2.7;5.1;1.3;2.3;1.7;1.7;2.0;5.1;5.1;1.3;1.0;1.0;2.7;5.1;5.1;1.7;1.3;5.1;1.0;1
7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
8;5.0;5.0;5.0;5.1;5.1;5.1;5.0;1.7;5.0;5.1;5.0;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.0;1.7;5.0;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
9;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
10;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.0;5.1;4.0;1
11;3.0;5.1;5.1;5.1;5.1;5.1;3.0;4.0;5.1;5.0;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;3.0;4.0;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
12;2.0;1.7;1.0;5.1;5.1;2.3;2.0;1.7;1.0;5.0;2.7;2.3;5.1;5.1;5.1;5.1;5.1;5.1;2.0;1.7;1.0;5.0;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
13;1.7;2.7;1.0;1.7;2.0;2.0;1.7;2.7;1.0;1.7;2.0;2.0;2.7;1.3;1.3;5.1;2.7;5.1;1.7;2.7;1.0;1.7;2.0;5.1;5.1;1.3;1.3;2.3;2.7;5.1;5.1;5.1;5.0;2.0;3.0;1
14;2.3;1.7;5.1;5.1;5.1;5.1;2.3;1.7;5.1;5.1;5.1;5.1;3.0;5.1;2.0;5.1;5.1;5.1;2.3;1.7;1.7;5.0;2.0;5.1;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
15;1.0;1.7;1.3;1.0;1.0;1.0;1.0;1.7;1.3;1.0;1.0;1.0;1.7;1.0;1.0;2.3;2.0;5.1;1.0;1.7;1.3;1.0;1.0;5.1;5.1;1.0;1.0;2.3;2.0;5.1;1.0;1.3;1.0;1.0;1.3;0
16;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
17;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
18;5.1;5.1;1.3;5.1;3.0;5.1;5.1;5.1;1.3;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.3;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
19;3.0;5.1;3.0;5.1;5.1;4.0;3.0;5.1;3.0;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.1;3.0;5.1;5.1;2.0;5.1;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
20;1.3;1.3;1.0;5.1;2.0;1.0;1.3;1.3;1.0;1.0;2.0;1.0;1.3;5.1;1.0;5.1;2.0;5.1;1.3;1.3;1.0;1.0;2.0;1.3;5.1;5.1;1.0;5.1;2.0;5.1;1.0;1.7;5.0;1.0;1.7;1
21;1.7;1.3;1.0;2.7;1.0;5.1;1.7;1.3;1.0;2.7;1.0;5.1;2.3;1.0;1.3;5.1;5.1;5.1;1.7;1.3;1.0;2.7;1.0;1.3;5.1;1.0;1.3;2.7;3.3;5.1;5.1;5.1;5.1;5.1;5.1;0
22;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
23;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.0;3.3;1.3;4.0;1.0;5.1;5.1;1.3;2.3;5.1;4.0;5.1;5.1;5.1;5.1;1.0;5.1;1
24;5.1;5.1;5.1;5.1;5.1;5.1;4.0;2.7;2.3;4.0;2.3;3.3;2.7;1.7;1.3;3.7;3.0;5.1;4.0;2.7;2.3;4.0;2.3;5.1;5.1;1.7;1.3;3.7;3.0;5.1;3.0;3.3;2.3;3.0;3.0;0
25;5.1;5.1;5.1;5.1;5.1;3.7;5.1;5.0;5.1;5.1;5.1;3.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
26;1.7;2.0;1.7;1.0;1.3;1.0;1.7;2.0;1.7;1.0;1.3;1.0;1.3;5.1;1.0;1.3;1.0;5.1;1.7;2.0;1.7;1.0;1.3;5.1;5.1;1.3;1.0;1.3;1.0;5.1;1.0;3.3;1.3;1.0;2.0;0
27;3.7;3.0;2.3;4.0;5.1;3.0;3.7;3.0;2.3;4.0;3.3;3.0;5.1;5.1;1.7;5.1;3.3;5.1;3.7;3.0;2.3;4.0;3.3;5.1;5.1;5.1;1.7;2.0;3.3;5.1;5.1;5.1;5.1;5.1;3.7;0
28;1.7;2.7;1.0;5.0;1.7;2.7;1.7;2.7;1.0;5.0;1.7;2.7;5.1;1.0;1.3;5.0;5.0;5.1;1.7;2.7;1.0;5.0;1.7;5.1;5.1;1.0;1.3;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
29;2.3;5.1;5.1;2.0;5.1;2.3;2.3;5.1;5.1;2.0;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;2.3;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
30;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.7;1.7;5.1;3.7;2.3;5.1;5.1;5.1;5.1;5.1;3.3;5.1;5.1;3.3;5.1;1.3;5.1;1
31;4.0;2.0;5.1;3.0;2.7;5.1;4.0;2.0;5.1;3.0;2.7;1.7;5.1;5.1;5.1;5.1;5.0;5.1;4.0;2.0;5.1;3.0;2.7;5.1;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
32;1.0;1.0;5.1;1.0;5.1;1.0;1.0;1.0;1.3;1.0;5.1;1.0;1.7;5.1;5.1;1.0;5.1;5.1;1.0;1.0;1.3;1.0;5.1;5.1;5.1;5.1;1.0;1.0;5.1;5.1;1.0;1.0;1.0;1.3;1.0;0
33;1.0;2.0;5.1;5.1;5.1;5.1;1.0;2.0;1.0;1.0;1.3;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1.0;2.0;1.0;1.0;1.3;5.1;5.1;5.1;5.1;2.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
34;2.7;5.1;2.0;5.0;1.3;5.1;2.7;5.1;2.0;5.0;1.3;3.3;5.1;1.3;1.7;5.1;5.1;5.1;2.7;5.1;2.0;5.0;1.3;5.1;5.1;1.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
35;5.1;5.1;5.1;5.1;5.1;5.1;4.0;3.7;2.0;4.0;5.1;3.7;2.7;5.1;5.1;5.1;5.1;5.1;4.0;3.7;2.0;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;4.0;5.1;1.7;1.3;1
36;5.1;5.1;1.7;5.1;5.1;5.1;3.0;5.1;1.7;3.3;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.0;1.7;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
37;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.0;1.0;2.7;3.7;3.7;5.1;5.1;5.0;5.1;5.0;5.0;5.1;5.1;3.3;5.1;5.1;5.1;0
38;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.3;1.3;1.7;3.0;2.3;5.1;5.1;1.3;1.0;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;0
39;2.3;4.0;1.0;1.0;3.3;5.1;2.3;4.0;1.0;1.0;3.3;2.7;4.0;2.0;1.7;2.7;4.0;5.1;2.3;4.0;1.0;1.0;3.3;5.1;5.1;2.0;1.7;2.7;4.0;5.1;2.3;3.0;3.7;1.3;2.3;1
40;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
41;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
42;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
43;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
44;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
45;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.3;2.0;1.3;4.0;2.0;5.1;5.1;5.1;1.3;1.7;5.0;5.1;3.0;2.7;3.7;5.1;5.1;0
46;5.1;5.1;5.1;5.1;5.1;1.3;5.1;3.0;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.0;5.1;1
47;1.3;5.1;5.1;5.1;5.1;1.3;1.3;1.3;2.0;3.0;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1.3;1.3;2.0;3.0;5.1;5.1;5.1;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
48;3.3;3.3;2.7;3.7;2.0;2.7;3.3;3.3;2.7;3.7;2.0;2.7;4.0;3.0;5.1;5.1;2.7;5.1;3.3;3.3;2.7;3.7;2.0;5.1;5.1;3.0;5.1;5.1;2.7;5.1;5.1;5.1;2.7;5.1;3.0;1
49;2.0;2.3;1.7;3.0;2.7;1.7;2.0;2.3;1.7;3.0;2.7;1.7;2.7;1.7;1.3;4.0;3.3;5.1;2.0;2.3;1.7;3.0;2.7;5.1;5.1;1.7;1.3;4.0;3.3;5.1;1.0;1.7;2.7;1.0;5.0;0
50;3.0;2.7;1.0;3.0;2.0;2.3;3.0;2.7;1.0;3.0;2.0;2.3;5.1;1.7;1.3;3.3;5.0;5.1;3.0;2.7;1.0;3.0;2.0;5.1;5.1;1.7;1.3;3.3;5.0;5.1;1.0;3.0;5.1;1.7;5.1;1
51;2.7;5.1;1.7;5.1;1.7;2.0;2.7;5.0;1.7;3.3;1.7;2.0;5.1;5.1;1.0;5.1;5.1;5.1;2.7;5.0;1.7;3.3;1.7;5.1;5.1;1.0;1.0;4.0;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
52;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
53;2.7;5.1;3.0;3.0;5.1;1.7;2.7;4.0;3.0;3.0;1.3;1.7;5.1;5.1;5.1;5.1;4.0;5.1;2.7;4.0;3.0;3.0;1.3;5.1;5.1;5.1;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;1
54;5.1;2.3;1.7;5.1;1.3;5.1;2.0;2.3;1.7;3.0;1.3;5.1;3.7;2.0;5.1;5.1;5.1;5.1;2.0;2.3;1.7;3.0;1.3;5.1;5.1;2.0;1.3;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
55;2.3;5.1;5.1;5.1;5.1;1.3;2.3;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
56;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.3;1.7;1.7;2.3;3.7;5.1;5.1;5.1;1.3;2.0;3.3;5.1;1.0;1.0;5.1;1.7;1.7;0
57;5.1;5.1;5.1;5.1;5.1;5.1;1.0;1.7;1.0;3.7;1.7;2.0;1.3;1.3;1.0;1.7;2.0;5.1;1.0;1.7;1.0;3.7;1.7;5.1;5.1;1.3;1.0;1.7;2.0;5.1;1.0;1.7;1.0;1.3;1.0;0
58;5.1;3.7;2.0;5.1;5.1;5.1;2.3;3.7;2.0;5.1;5.1;1.7;5.1;5.1;1.0;5.1;5.1;5.1;2.3;3.7;2.0;3.3;5.1;5.1;5.1;5.1;1.0;5.1;5.1;5.1;5.1;4.0;5.1;5.1;5.1;1
59;2.7;5.1;5.1;4.0;3.0;1.7;2.7;1.3;2.0;4.0;3.0;1.7;5.1;2.0;5.1;2.3;5.1;5.1;2.7;1.3;2.0;4.0;3.0;5.1;5.1;2.0;1.0;2.3;2.3;5.1;5.1;5.1;5.1;5.1;5.1;0
60;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.7;1.3;1.0;2.0;5.1;5.1;5.1;5.1;1.0;5.1;2.3;5.1;1.0;2.0;5.1;1.3;5.1;1
61;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.0;5.1;1.0;2.3;5.1;5.1;2.3;1.7;2.0;5.1;5.1;1.3;1.0;1.3;5.1;5.1;0
62;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1.3;1.7;1.3;1.7;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
63;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
64;5.1;1.3;5.1;5.1;1.3;1.7;1.7;1.3;1.7;1.7;1.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1.7;1.3;1.7;1.7;1.3;5.1;5.1;1.0;1.0;4.0;2.7;5.1;5.1;5.1;5.1;5.1;5.1;0
65;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
66;5.1;5.1;5.1;5.1;5.1;5.1;4.0;3.7;1.3;5.1;4.0;3.3;5.1;5.1;5.1;5.1;4.0;5.1;4.0;3.7;1.3;2.0;4.0;5.1;5.1;5.1;3.7;5.1;4.0;5.1;5.1;5.1;5.1;5.1;3.0;1
67;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
68;1.0;1.3;2.0;3.7;5.1;1.3;1.0;1.3;2.0;3.7;5.1;1.3;1.0;5.1;1.3;5.1;3.0;5.1;1.0;1.3;2.0;3.7;5.1;5.1;5.1;5.1;1.3;5.1;3.0;5.1;5.0;1.3;5.1;5.1;1.3;1
